代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	
002258	利尔化学	3.79	17.54	0.64	17.54	17.55	42903	697	0.00	          1.64	
002259	升达林业	-0.54	7.31	-0.04	7.31	7.32	90571	2037	0.13	          1.50	
002260	德奥通航	-1.08	27.60	-0.30	27.60	27.61	32487	519	-0.03	          1.23	
002261	拓维信息	2.52	28.94	0.71	28.94	28.95	108212	948	-0.03	          3.37	
002262	恩华药业	-3.01	21.24	-0.66	21.24	21.25	78259	560	0.09	          1.98	
002263	大 东 南	--  	5.60	--  	--  	--  	0	0	--  	          0.00	
002264	新 华 都	0.47	6.46	0.03	6.45	6.46	40705	890	-0.15	          0.76	
002265	西仪股份	0.24	12.48	0.03	12.48	12.49	83255	1245	0.00	          2.86	
002266	浙富控股	-0.52	5.79	-0.03	5.78	5.79	220159	4185	0.17	          1.54	
002267	陕天然气	-0.54	9.23	-0.05	9.23	9.24	32898	394	0.00	          0.30	
002268	卫 士 通	3.81	38.16	1.40	38.16	38.17	112578	734	0.02	          3.27	
002269	美邦服饰	0.41	4.91	0.02	4.91	4.92	188337	5171	0.20	          0.75	
002270	法因数控	-0.07	15.03	-0.01	15.03	15.04	77702	1230	0.13	          5.57	
002271	东方雨虹	-0.49	14.11	-0.07	14.10	14.11	109085	1201	0.14	          1.94	
002272	川润股份	3.59	8.66	0.30	8.65	8.66	154777	1299	0.00	          4.95	
002273	水晶光电	0.89	37.43	0.33	37.43	37.44	412899	6657	-0.08	         11.57	
002274	华昌化工	-1.18	8.41	-0.10	8.41	8.42	64861	544	-0.11	          1.32	
002275	桂林三金	0.30	16.68	0.05	16.67	16.68	17993	306	0.00	          0.34	
002276	万马股份	3.02	23.54	0.69	23.53	23.54	554914	6431	-0.16	          6.09	
002277	友阿股份	0.00	10.43	0.00	10.43	10.44	105982	1278	0.09	          1.87	
002278	神开股份	1.21	15.91	0.19	15.91	15.92	51385	869	0.25	          2.01	
002279	久其软件	0.56	55.51	0.31	55.51	55.52	42931	784	-0.01	          6.10	
002280	联络互动	1.97	47.51	0.92	47.51	47.52	143374	1458	-0.04	          5.69	
002281	光迅科技	-0.27	56.20	-0.15	56.19	56.20	38005	330	-0.26	          1.87	
002282	博深工具	0.34	11.89	0.04	11.88	11.89	20058	701	0.33	          1.08	
002283	天润曲轴	-0.20	14.70	-0.03	14.70	14.72	77955	986	-0.13	          1.39	
002284	亚太股份	2.34	17.92	0.41	17.92	17.93	707690	6427	0.11	         10.32	
002285	世联行	0.00	11.19	0.00	11.18	11.19	140053	2277	0.17	          1.15	
002286	保龄宝	--  	14.50	--  	--  	--  	0	0	--  	          0.00	
002287	奇正藏药	0.89	29.42	0.26	29.42	29.43	24927	808	0.06	          0.61	
002288	超华科技	--  	8.87	--  	--  	--  	0	0	--  	          0.00	
002289	宇顺电子	2.03	26.13	0.52	26.13	26.14	49263	2022	0.11	          3.38	
002290	禾盛新材	0.31	22.98	0.07	22.97	22.98	41545	838	0.00	          3.05	
002291	星期六	-0.53	11.27	-0.06	11.27	11.28	28022	704	0.08	          0.77	
002292	奥飞动漫	3.80	36.10	1.32	36.10	36.11	672048	8225	0.11	         10.15	
002293	罗莱生活	0.46	13.02	0.06	13.02	13.03	24923	458	0.15	          0.36	
002294	信立泰	2.77	27.50	0.74	27.49	27.50	85325	606	-0.03	          1.86	
002295	精艺股份	0.50	14.07	0.07	14.07	14.08	28571	408	0.14	          1.57	
002296	辉煌科技	0.60	15.00	0.09	14.99	15.00	80580	1869	0.06	          2.80	
002297	博云新材	-0.38	10.57	-0.04	10.57	10.58	100376	1890	-0.09	          2.76	
002298	中电鑫龙	0.14	14.38	0.02	14.38	14.39	128089	2028	0.27	          3.61	
002299	圣农发展	4.63	22.39	0.99	22.39	22.40	84548	788	-0.26	          0.94	
002300	太阳电缆	0.11	9.36	0.01	9.36	9.37	24983	219	0.00	          0.55	
002301	齐心集团	-1.25	17.33	-0.22	17.30	17.33	45375	1307	-0.34	          1.36	
002302	西部建设	0.80	13.89	0.11	13.89	13.90	40547	307	-0.07	          1.50	
002303	美盈森	5.11	10.69	0.52	10.69	10.70	222336	3813	-0.55	          2.94	
002304	洋河股份	0.37	58.89	0.22	58.88	58.89	17089	79	-0.05	          0.14	
002305	南国置业	-0.42	4.75	-0.02	4.75	4.76	84029	317	-0.21	          0.77	
002306	*ST云网	-1.93	5.58	-0.11	5.57	5.58	202742	2021	0.17	          3.31	
002307	北新路桥	-0.95	8.30	-0.08	8.29	8.30	84926	2093	0.00	          1.52	
002308	威创股份	10.01	15.83	1.44	15.83	--  	17216	4	0.00	          0.21	
002309	中利科技	1.87	14.70	0.27	14.70	14.71	82547	1929	0.27	          2.29	
002310	东方园林	0.92	20.88	0.19	20.88	20.89	136975	1365	0.00	          2.47	
002311	海大集团	0.23	12.94	0.03	12.94	12.95	39646	786	0.00	          0.66	
002312	三泰控股	--  	22.90	--  	--  	--  	0	0	--  	          0.00	
002313	日海通讯	-0.13	14.90	-0.02	14.88	14.90	173697	2856	-0.13	          5.57	
002314	南山控股	1.24	6.53	0.08	6.53	6.54	67139	886	0.30	          1.16	
002315	焦点科技	4.19	75.43	3.03	75.42	75.43	54647	970	0.03	          9.06	
002316	键桥通讯	1.16	13.95	0.16	13.95	13.96	71072	736	0.14	          2.26	
002317	众生药业	0.57	10.51	0.06	10.50	10.51	89146	923	0.28	          1.88	
002318	久立特材	-1.96	10.49	-0.21	10.49	10.50	215785	2642	0.00	          2.67	
002319	乐通股份	-0.60	16.51	-0.10	16.50	16.51	159451	2240	0.36	          7.97	
002320	海峡股份	3.01	16.45	0.48	16.45	16.46	193707	4030	0.30	          4.55	
002321	华英农业	3.43	10.55	0.35	10.55	10.56	124352	2276	-0.09	          2.94	
002322	理工监测	0.12	17.20	0.02	17.20	17.21	44971	387	0.11	          2.84	
002323	雅百特	-1.82	29.70	-0.55	29.67	29.70	11686	63	0.03	          1.40	
002324	普利特	2.46	26.19	0.63	26.19	26.20	32615	322	0.03	          2.08	
002325	洪涛股份	0.35	11.43	0.04	11.43	11.44	184640	2678	0.26	          2.43	
002326	永太科技	--  	15.84	--  	--  	--  	0	0	--  	          0.00	
002327	富安娜	3.91	9.31	0.35	9.30	9.31	135010	2279	0.86	          2.89	
002328	新朋股份	0.78	9.03	0.07	9.02	9.03	92284	1454	0.22	          2.84	
002329	皇氏集团	-2.13	16.99	-0.37	16.98	16.99	177815	2736	0.00	          4.27	
002330	得利斯	0.24	12.29	0.03	12.29	12.30	138332	3102	0.00	          2.76	
002331	皖通科技	0.46	17.60	0.08	17.59	17.60	112943	2304	0.00	          4.95	
002332	仙琚制药	-0.18	11.13	-0.02	11.13	11.14	74303	670	0.00	          1.59	
002333	罗普斯金	1.28	20.65	0.26	20.65	20.66	16056	295	-0.09	          0.66	
002334	英威腾	0.00	8.19	0.00	8.19	8.20	89562	1338	0.12	          1.74	
002335	科华恒盛	-2.27	37.02	-0.86	37.02	37.04	32965	290	0.02	          1.80	
002336	人人乐	-1.99	13.80	-0.28	13.80	13.81	202263	3940	0.36	          5.06	
002337	赛象科技	-0.75	7.90	-0.06	7.89	7.90	138320	6565	-0.12	          2.45	
002338	奥普光电	0.31	58.01	0.18	58.01	58.02	4522	16	0.01	          0.38	
002339	积成电子	0.73	17.89	0.13	17.89	17.90	91619	1369	0.16	          3.09	
002340	格林美	-0.48	10.44	-0.05	10.43	10.44	171532	3289	0.00	          1.47	
002341	新纶科技	-1.94	16.70	-0.33	16.70	16.71	132915	1697	0.05	          5.18	
002342	巨力索具	0.68	5.94	0.04	5.94	5.95	97964	1960	0.00	          1.19	
002343	慈文传媒	1.08	49.58	0.53	49.55	49.58	85904	691	0.20	          5.62	
002344	海宁皮城	-0.65	10.68	-0.07	10.67	10.68	95793	2466	0.18	          0.87	
002345	潮宏基	0.00	11.03	0.00	11.02	11.03	110126	2270	-0.09	          1.32	
002346	柘中股份	5.12	23.83	1.16	23.82	23.83	103508	2051	-0.20	         12.97	
002347	泰尔重工	1.61	15.13	0.24	15.12	15.13	38339	576	0.26	          2.64	
002348	高乐股份	1.71	12.50	0.21	12.50	12.51	169859	4036	0.08	          4.58	
002349	精华制药	--  	38.70	--  	--  	--  	0	0	--  	          0.00	
002350	北京科锐	-0.44	15.73	-0.07	15.73	15.74	18115	212	0.06	          0.83	
002351	漫步者	0.49	18.48	0.09	18.47	18.48	29624	360	-0.05	          2.21	
002352	鼎泰新材	-0.42	23.88	-0.10	23.88	23.98	13880	128	0.12	          1.80	
002353	杰瑞股份	-0.42	16.67	-0.07	16.67	16.68	117262	1431	0.00	          1.76	
002354	天神娱乐	--  	79.07	--  	--  	--  	0	0	--  	          0.00	
002355	兴民钢圈	-0.46	24.05	-0.11	24.05	24.06	215857	6061	0.00	          6.32	
002356	浩宁达	--  	22.03	--  	--  	--  	0	0	--  	          0.00	
002357	富临运业	0.31	12.91	0.04	12.91	12.92	30818	691	0.07	          0.98	
002358	森源电气	1.03	14.75	0.15	14.75	14.76	147855	2916	0.06	          2.21	
002359	齐星铁塔	-2.19	28.20	-0.63	28.20	28.21	24369	522	-0.10	          0.66	
002360	同德化工	5.42	10.50	0.54	10.49	10.50	113928	1269	0.57	          4.65	
002361	神剑股份	-0.96	12.34	-0.12	12.34	12.35	116077	1055	0.08	          4.24	
002362	汉王科技	-0.16	25.07	-0.04	25.06	25.07	71488	999	0.07	          4.06	
002363	隆基机械	1.91	13.33	0.25	13.33	13.34	136383	3142	0.07	          3.54	
002364	中恒电气	2.50	20.88	0.51	20.87	20.88	62477	1092	0.09	          1.46	
002365	永安药业	0.87	16.16	0.14	16.16	16.17	22277	410	0.06	          1.52	
002366	台海核电	0.61	50.90	0.31	50.88	50.99	11538	31	-0.19	          1.06	
002367	康力电梯	-0.32	12.57	-0.04	12.56	12.57	50056	1108	-0.07	          1.09	
002368	太极股份	1.89	42.09	0.78	42.09	42.10	82774	733	0.26	          2.29	
002369	卓翼科技	6.31	9.27	0.55	9.26	9.27	484711	4353	-0.10	         11.68	
002370	亚太药业	0.03	29.79	0.01	29.79	29.80	19771	156	-0.03	          1.14	
002371	七星电子	1.39	29.96	0.41	29.96	29.97	89012	2495	0.13	          2.64	
002372	伟星新材	-0.27	14.52	-0.04	14.52	14.54	22428	210	-0.13	          0.44	
002373	千方科技	1.87	34.95	0.64	34.95	34.96	55567	759	-0.05	          2.56	
002374	丽鹏股份	5.28	13.75	0.69	13.75	13.76	106100	1983	0.00	          4.66	
002375	亚厦股份	-2.46	13.06	-0.33	13.06	13.07	779345	12787	0.53	          6.90	
002376	新北洋	1.53	13.96	0.21	13.96	13.97	122655	1706	-0.07	          2.22	
002377	国创高新	0.79	7.62	0.06	7.62	7.63	52409	579	0.13	          1.22	
002378	章源钨业	-1.19	9.17	-0.11	9.17	9.18	133109	1496	-0.21	          1.44	
002379	鲁丰环保	--  	4.34	--  	--  	--  	0	0	--  	          0.00	
002380	科远股份	2.80	37.11	1.01	37.11	37.12	58093	951	-0.05	          5.69	
002381	双箭股份	-0.59	13.48	-0.08	13.48	13.49	74808	979	0.07	          3.46	
002382	蓝帆医疗	0.35	23.21	0.08	23.21	23.22	22629	346	-0.04	          0.95	
002383	合众思壮	--  	40.35	--  	--  	--  	0	0	--  	          0.00	
002384	东山精密	--  	19.26	--  	--  	--  	0	0	--  	          0.00	
002385	大北农	3.36	10.46	0.34	10.46	10.47	333736	4266	0.09	          2.17	
002386	天原集团	0.89	6.79	0.06	6.78	6.79	247123	4347	1.04	          3.68	
002387	黑牛食品	-1.79	14.24	-0.26	14.24	14.25	74374	802	0.35	          2.58	
002388	新亚制程	-0.12	8.31	-0.01	8.31	8.32	81824	2557	-0.24	          2.25	
002389	南洋科技	--  	12.97	--  	--  	--  	0	0	--  	          0.00	
002390	信邦制药	4.81	10.90	0.50	10.89	10.90	127116	5534	0.00	          1.73	
002391	长青股份	0.44	13.81	0.06	13.80	13.81	34177	213	-0.07	          1.60	
002392	北京利尔	-1.58	5.62	-0.09	5.62	5.63	196820	2977	0.00	          3.35	
002393	力生制药	0.48	39.81	0.19	39.81	39.82	30609	419	0.12	          1.68	
002394	联发股份	2.56	15.60	0.39	15.60	15.61	36398	365	0.12	          1.12	
002395	双象股份	-0.41	21.65	-0.09	21.64	21.65	50567	592	-0.18	          2.83	
002396	星网锐捷	1.75	16.84	0.29	16.83	16.84	172339	3584	-0.11	          3.27	
002397	梦洁家纺	0.14	7.29	0.01	7.28	7.29	47813	835	0.13	          1.46	
002398	建研集团	-0.71	12.55	-0.09	12.55	12.56	45163	318	0.07	          1.79	
002399	海普瑞	0.71	28.19	0.20	28.18	28.19	31173	789	0.14	          0.39	
002400	省广股份	1.55	18.99	0.29	18.99	19.00	67239	253	-0.05	          0.81	
002401	中海科技	1.18	17.10	0.20	17.10	17.11	113926	1831	0.00	          3.81	
002402	和而泰	0.67	19.48	0.13	19.47	19.48	47055	606	0.15	          1.94	
002403	爱仕达	0.61	11.52	0.07	11.50	11.52	31642	557	-0.08	          1.09	
002404	嘉欣丝绸	0.41	7.37	0.03	7.37	7.38	60428	1110	0.00	          1.54	
002405	四维图新	0.22	32.17	0.07	32.16	32.17	241612	4132	-0.09	          3.66	
002406	远东传动	-0.37	8.12	-0.03	8.12	8.13	89531	1539	0.00	          2.55	
002407	多氟多	-1.14	66.20	-0.76	66.20	66.21	203217	2468	-0.10	         10.87	
002408	齐翔腾达	-1.15	10.30	-0.12	10.30	10.31	85812	756	0.00	          1.15	
002409	雅克科技	--  	21.96	--  	--  	--  	0	0	--  	          0.00	
002410	广联达	5.10	13.80	0.67	13.79	13.80	212156	2076	0.29	          2.96	
002411	九九久	4.43	14.39	0.61	14.38	14.39	169705	3386	0.20	          5.99	
002412	汉森制药	0.06	17.66	0.01	17.65	17.66	36068	312	0.17	          1.26	
002413	雷科防务	1.06	44.92	0.47	44.91	44.92	69303	805	0.26	          3.14	
002414	高德红外	3.57	21.45	0.74	21.44	21.45	84582	1194	0.14	          1.82	
002415	海康威视	-1.65	26.25	-0.44	26.24	26.25	235652	2096	0.00	          0.75	
002416	爱施德	2.09	19.50	0.40	19.50	19.51	810137	11106	0.10	          8.35	
002417	*ST元达	1.41	15.07	0.21	15.06	15.07	45459	767	0.00	          2.10	
002418	康盛股份	0.76	26.44	0.20	26.44	26.45	102792	927	0.03	          5.57	
002419	天虹商场	7.23	12.02	0.81	12.01	12.02	78513	1752	0.08	          0.98	
002420	毅昌股份	0.84	8.39	0.07	8.39	8.40	48633	915	0.23	          1.26	
002421	达实智能	1.44	15.46	0.22	15.45	15.46	57729	1331	0.12	          1.27	
002422	科伦药业	-0.07	14.80	-0.01	14.79	14.80	34343	419	0.06	          0.48	
002423	中原特钢	-0.99	14.95	-0.15	14.94	14.95	294799	10014	0.53	          6.33	
002424	贵州百灵	-0.40	17.47	-0.07	17.47	17.48	85657	1132	-0.05	          1.57	
002425	凯撒股份	0.29	24.45	0.07	24.43	24.45	30565	451	0.00	          0.81	
002426	胜利精密	6.18	20.09	1.17	20.09	20.10	241926	2224	-0.04	          4.10	
002427	尤夫股份	--  	14.54	--  	--  	--  	0	0	--  	          0.00	
002428	云南锗业	0.75	18.77	0.14	18.75	18.77	137728	3774	0.64	          2.18	
002429	兆驰股份	4.48	8.87	0.38	8.86	8.87	206140	4309	0.22	          1.30	
002430	杭氧股份	--  	8.14	--  	--  	--  	0	0	--  	          0.00	
002431	棕榈园林	-2.36	21.95	-0.53	21.95	21.96	540400	10982	0.00	         17.82	
002432	九安医疗	-1.71	18.96	-0.33	18.95	18.96	185329	3986	0.05	          4.98	
002433	太安堂	-0.37	10.70	-0.04	10.70	10.71	98115	1892	0.09	          1.45	
002434	万里扬	--  	23.05	--  	--  	--  	0	0	--  	          0.00	
002435	长江润发	-0.31	16.30	-0.05	16.30	16.31	95614	993	-0.12	          5.34	
002436	兴森科技	10.02	16.25	1.48	16.25	--  	240662	85	0.00	          7.44	
002437	誉衡药业	-1.28	28.64	-0.37	28.64	28.65	72218	834	0.20	          1.02	
002438	江苏神通	-1.13	18.40	-0.21	18.40	18.41	39267	913	0.16	          2.91	
002439	启明星辰	3.47	25.67	0.86	25.67	25.68	145186	2046	1.06	          2.63	
002440	闰土股份	-0.35	14.17	-0.05	14.17	14.18	40190	667	-0.07	          0.70	
002441	众业达	3.04	15.26	0.45	15.26	15.27	103236	1240	0.13	          3.30	
002442	龙星化工	0.64	14.14	0.09	14.14	14.15	30561	599	0.00	          1.22	
002443	金洲管道	-1.02	11.64	-0.12	11.64	11.65	106048	1212	0.00	          2.16	
002444	巨星科技	0.12	16.80	0.02	16.80	16.81	78897	623	0.05	          0.85	
002445	中南重工	--  	18.67	--  	--  	--  	0	0	--  	          0.00	
002446	盛路通信	0.35	28.96	0.10	28.96	28.97	77139	1179	0.45	          4.59	
002447	壹桥海参	-1.15	6.86	-0.08	6.86	6.87	103266	1101	0.00	          1.79	
002448	中原内配	1.08	9.36	0.10	9.35	9.36	96129	1485	0.21	          2.10	
002449	国星光电	0.94	11.82	0.11	11.82	11.83	55424	1856	0.25	          1.67	
002450	康得新	--  	29.90	--  	--  	--  	0	0	--  	          0.00	
002451	摩恩电气	1.33	11.42	0.15	11.41	11.42	136712	1479	0.26	          4.95	
002452	长高集团	0.60	11.81	0.07	11.81	11.82	178456	1058	0.08	          5.36	
002453	天马精化	1.05	9.60	0.10	9.59	9.60	220055	4201	0.52	          4.10	
002454	松芝股份	1.62	13.14	0.21	13.14	13.15	35293	1028	0.53	          1.47	
002455	百川股份	0.12	8.07	0.01	8.07	8.08	45768	850	0.12	          1.57	
002456	欧菲光	0.68	25.01	0.17	25.01	25.02	234066	2534	0.08	          2.85	
002457	青龙管业	2.09	9.75	0.20	9.74	9.75	93010	1712	0.00	          3.56	
002458	益生股份	0.11	37.00	0.04	37.00	37.02	29566	225	0.02	          2.03	
002459	天业通联	1.26	16.03	0.20	16.02	16.03	14271	193	0.18	          0.72	
002460	赣锋锂业	0.04	44.60	0.02	44.60	44.61	209369	4841	0.04	          8.24	
002461	珠江啤酒	-0.08	12.19	-0.01	12.18	12.19	32925	1272	0.00	          0.48	
002462	嘉事堂	-0.87	38.54	-0.34	38.51	38.54	16657	310	0.10	          0.85	
002463	沪电股份	-0.23	4.41	-0.01	4.40	4.41	159020	2413	0.00	          0.95	
002464	金利科技	-1.75	59.49	-1.06	59.48	59.49	20526	197	0.00	          1.99	
002465	海格通信	1.11	14.52	0.16	14.51	14.52	315128	5813	0.06	          1.72	
002466	天齐锂业	-0.53	150.70	-0.80	150.70	150.75	110912	2346	0.16	          6.72	
002467	二六三	1.65	14.13	0.23	14.13	14.14	203748	3606	0.00	          3.43	
002468	艾迪西	-2.01	36.09	-0.74	36.08	36.09	66130	861	0.02	          1.99	
002469	三维工程	5.42	12.84	0.66	12.83	12.84	117879	927	-0.46	          4.18	
002470	金正大	-1.47	16.10	-0.24	16.10	16.11	56891	626	0.06	          0.42	
002471	中超控股	1.51	7.40	0.11	7.40	7.41	412914	3787	0.00	          3.28	
002472	双环传动	-0.67	20.79	-0.14	20.78	20.79	26300	352	0.04	          1.37	
002473	圣莱达	1.20	23.69	0.28	23.69	23.70	111396	1240	0.00	          6.96	
002474	榕基软件	2.11	15.01	0.31	15.01	15.02	259560	3751	-0.19	          5.92	
002475	立讯精密	-0.07	28.99	-0.02	28.98	28.99	33373	37	0.03	          0.27	
002476	宝莫股份	1.77	6.89	0.12	6.88	6.89	108216	1555	0.14	          1.79	
002477	雏鹰农牧	1.06	13.37	0.14	13.37	13.38	109949	1445	0.07	          2.08	
002478	常宝股份	1.07	11.35	0.12	11.34	11.35	37555	935	0.17	          1.33	
002479	富春环保	0.22	9.31	0.02	9.30	9.31	72310	983	0.00	          0.99	
002480	新筑股份	0.00	9.74	0.00	9.73	9.74	84792	858	0.10	          1.36	
002481	双塔食品	1.02	7.93	0.08	7.93	7.94	514154	5964	0.00	          4.59	
002482	广田股份	-1.68	20.53	-0.35	20.53	20.54	43041	261	0.14	          0.90	
002483	润邦股份	--  	11.53	--  	--  	--  	0	0	--  	          0.00	
002484	江海股份	0.83	18.26	0.15	18.26	18.27	41438	203	-0.10	          1.35	
002485	希努尔	--  	15.14	--  	--  	--  	0	0	--  	          0.00	
002486	嘉麟杰	-1.61	4.90	-0.08	4.89	4.90	214237	3978	0.20	          2.68	
002487	大金重工	0.40	9.99	0.04	9.99	10.00	90556	862	0.00	          1.68	
002488	金固股份	1.89	18.32	0.34	18.32	18.33	143537	1121	0.00	          3.73	
002489	浙江永强	-0.47	8.42	-0.04	8.41	8.42	522051	8749	0.11	          2.79	
002490	山东墨龙	0.66	7.67	0.05	7.66	7.67	86030	1802	0.13	          2.87	
002491	通鼎互联	--  	14.75	--  	--  	--  	0	0	--  	          0.00	
002492	恒基达鑫	0.72	12.65	0.09	12.62	12.65	45920	302	0.31	          1.95	
002493	荣盛石化	-0.24	12.23	-0.03	12.23	12.24	53457	1015	0.41	          0.26	
002494	华斯股份	-2.53	21.20	-0.55	21.20	21.21	74914	976	0.04	          3.01	
002495	佳隆股份	1.70	5.98	0.10	5.97	5.98	154629	1122	0.16	          4.14	
002496	辉丰股份	4.79	22.99	1.05	22.98	22.99	131370	2438	0.08	          5.73	
002497	雅化集团	-1.03	6.71	-0.07	6.70	6.71	293009	2992	0.00	          4.14	
002498	汉缆股份	0.60	5.07	0.03	5.06	5.07	210744	4544	0.19	          0.63	
002499	科林环保	0.50	18.21	0.09	18.21	18.22	38218	611	0.05	          2.95	
002500	山西证券	0.09	10.64	0.01	10.64	10.65	309432	4668	0.09	          1.24	
002501	利源精制	0.10	9.87	0.01	9.87	9.88	145216	2264	-0.10	          2.16	
002502	骅威股份	-5.13	31.10	-1.68	31.10	31.11	133280	1171	0.00	          7.25	
002503	搜于特	2.97	15.60	0.45	15.60	15.61	73306	3921	0.00	          1.16	
002504	弘高创意	10.00	28.83	2.62	28.83	--  	441865	27	0.00	         31.90	
002505	大康牧业	-0.61	6.50	-0.04	6.49	6.50	134526	1506	0.15	          1.93	
002506	协鑫集成	0.35	8.54	0.03	8.54	8.55	725650	11151	0.00	          3.29	
002507	涪陵榨菜	-0.45	15.52	-0.07	15.51	15.52	21089	206	-0.06	          1.14	
002508	老板电器	0.43	41.67	0.18	41.66	41.67	21366	411	0.14	          0.45	
002509	天广消防	0.00	14.36	0.00	14.36	14.37	48299	737	-0.20	          1.68	
002510	天汽模	-0.42	11.97	-0.05	11.97	11.98	58331	922	0.16	          1.83	
002511	中顺洁柔	-1.84	10.66	-0.20	10.66	10.67	43973	413	0.00	          0.91	
002512	达华智能	--  	19.85	--  	--  	--  	0	0	--  	          0.00	
002513	蓝丰生化	0.19	15.80	0.03	15.79	15.80	45507	325	-0.31	          2.14	
002514	宝馨科技	0.24	20.85	0.05	20.85	20.86	50207	1131	-0.04	          2.94	
002515	金字火腿	--  	16.35	--  	--  	--  	0	0	--  	          0.00	
002516	旷达科技	1.12	11.70	0.13	11.70	11.71	50006	2023	0.17	          1.84	
002517	恺英网络	2.50	50.90	1.24	50.90	50.92	23301	799	0.55	          1.32	
002518	科士达	2.71	30.30	0.80	30.29	30.30	53432	283	0.23	          1.90	
002519	银河电子	0.33	18.41	0.06	18.41	18.43	25333	649	0.16	          0.58	
002520	日发精机	2.43	19.39	0.46	19.39	19.40	37223	1872	0.62	          1.19	
002521	齐峰新材	-0.52	9.48	-0.05	9.48	9.49	77585	1624	0.10	          1.92	
002522	浙江众成	1.48	13.00	0.19	13.00	13.01	188527	1946	0.00	          4.61	
002523	天桥起重	0.82	7.41	0.06	7.41	7.42	41621	250	0.00	          1.38	
002524	光正集团	4.26	7.09	0.29	7.08	7.09	136287	1433	0.00	          2.78	
002526	山东矿机	4.11	8.10	0.32	8.10	8.11	168960	3801	-0.12	          4.05	
002527	新时达	1.85	15.98	0.29	15.97	15.98	119640	888	0.00	          3.34	
002528	英飞拓	1.17	13.02	0.15	13.01	13.02	370883	5279	0.23	          7.23	
002529	海源机械	0.28	17.75	0.05	17.74	17.75	76798	1543	0.11	          3.84	
002530	丰东股份	-2.20	21.31	-0.48	21.31	21.32	67354	272	-0.04	          2.51	
002531	天顺风能	-0.28	10.74	-0.03	10.74	10.75	34717	428	0.18	          0.42	
002532	新界泵业	0.32	12.46	0.04	12.46	12.47	26840	277	0.08	          1.18	
002533	金杯电工	2.78	8.88	0.24	8.88	8.89	248923	4450	0.00	          4.97	
002534	杭锅股份	5.27	15.58	0.78	15.58	15.70	54271	600	-0.89	          1.38	
002535	林州重机	-1.20	9.08	-0.11	9.08	9.09	132318	1190	-0.11	          4.09	
002536	西泵股份	0.96	56.60	0.54	56.59	56.60	35596	414	0.07	          4.06	
002537	海立美达	10.03	20.08	1.83	20.08	--  	3869	5	0.00	          0.13	
002538	司尔特	0.89	9.09	0.08	9.09	9.10	65526	870	0.00	          1.14	
002539	新都化工	0.25	15.82	0.04	15.81	15.82	41190	741	0.06	          1.04	
002540	亚太科技	-0.53	7.55	-0.04	7.55	7.56	73379	763	0.13	          1.04	
002541	鸿路钢构	1.03	15.68	0.16	15.67	15.68	17858	241	0.00	          1.09	
002542	中化岩土	--  	13.59	--  	--  	--  	0	0	--  	          0.00	
002543	万和电气	0.34	14.61	0.05	14.60	14.61	24349	270	0.06	          0.76	
002544	杰赛科技	--  	29.65	--  	--  	--  	0	0	--  	          0.00	
002545	东方铁塔	0.13	7.60	0.01	7.60	7.61	104101	3302	-0.13	          3.04	
002546	新联电子	-0.20	29.77	-0.06	29.77	29.78	33536	998	0.13	          1.43	
002547	春兴精工	--  	8.20	--  	--  	--  	0	0	--  	          0.00	
002548	金新农	0.30	13.28	0.04	13.28	13.29	40410	474	0.07	          1.32	
002549	凯美特气	-0.11	8.69	-0.01	8.69	8.70	46580	662	-0.11	          2.37	
002550	千红制药	-0.58	15.43	-0.09	15.42	15.43	48051	1002	0.00	          1.18	
002551	尚荣医疗	3.35	21.60	0.70	21.60	21.61	70830	1941	0.23	          2.64	
002552	宝鼎重工	-0.36	13.76	-0.05	13.74	13.76	21432	105	-0.07	          1.27	
002553	南方轴承	2.90	9.95	0.28	9.95	9.96	81815	1753	-0.10	          3.73	
002554	惠博普	2.39	12.01	0.28	12.01	12.02	74689	387	0.00	          2.80	
002555	三七互娱	-2.35	40.25	-0.97	40.25	40.26	101575	1302	0.07	          6.41	
002556	辉隆股份	0.44	13.60	0.06	13.60	13.61	124196	2285	0.29	          2.68	
002557	洽洽食品	-0.93	18.15	-0.17	18.15	18.19	33273	236	0.00	          0.66	
002558	世纪游轮	-1.04	142.01	-1.49	142.01	142.02	20848	322	-0.06	          6.42	
002559	亚威股份	0.32	12.52	0.04	12.52	12.53	80582	1065	0.16	          2.75	
002560	通达股份	0.78	36.00	0.28	36.00	36.01	51734	1003	0.05	          5.86	
002561	徐家汇	-1.35	13.20	-0.18	13.20	13.21	37681	934	0.00	          0.98	
002562	兄弟科技	9.25	24.80	2.10	24.79	24.80	85824	3474	0.89	          7.93	
002563	森马服饰	2.08	10.31	0.21	10.31	10.32	65292	559	0.00	          0.36	
002564	天沃科技	1.50	7.45	0.11	7.44	7.45	143108	3169	-0.13	          2.87	
002565	上海绿新	-0.12	8.14	-0.01	8.13	8.14	143127	2043	0.12	          2.08	
002566	益盛药业	0.08	12.01	0.01	12.01	12.02	36328	248	0.00	          1.76	
002567	唐人神	--  	12.84	--  	--  	--  	0	0	--  	          0.00	
002568	百润股份	0.89	27.28	0.24	27.27	27.28	63392	1241	0.14	          2.95	
002569	步森股份	--  	43.64	--  	--  	--  	0	0	--  	          0.00	
002570	贝因美	-1.12	11.48	-0.13	11.48	11.49	158668	3711	0.17	          1.56	
