代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	
000915	山大华特	2.08	28.02	0.57	28.01	28.02	28475	253	-0.39	          1.59	
000916	华北高速	0.22	4.53	0.01	4.52	4.53	50606	428	0.00	          0.46	
000917	电广传媒	2.46	17.89	0.43	17.88	17.89	562585	12578	0.16	          5.30	
000918	嘉凯城	-1.75	4.48	-0.08	4.48	4.49	191998	1518	-0.22	          1.06	
000919	金陵药业	1.73	12.97	0.22	12.97	12.98	101379	410	-0.07	          2.01	
000920	南方汇通	--  	17.83	--  	--  	--  	0	0	--  	          0.00	
000921	海信科龙	-3.17	7.63	-0.25	7.63	7.64	120701	1434	-0.26	          1.34	
000922	佳电股份	-1.18	9.20	-0.11	9.20	9.21	75588	1373	-0.10	          1.65	
000923	河北宣工	-0.14	14.31	-0.02	14.31	14.32	78790	2433	-0.20	          3.98	
000925	众合科技	--  	18.48	--  	--  	--  	0	0	--  	          0.00	
000926	福星股份	-1.14	12.11	-0.14	12.11	12.12	93559	1042	0.08	          1.76	
000927	*ST夏利	0.17	5.82	0.01	5.81	5.82	44990	486	0.34	          0.28	
000928	中钢国际	0.00	13.29	0.00	13.29	13.30	119923	2268	0.07	          2.90	
000929	兰州黄河	--  	12.50	--  	--  	--  	0	0	--  	          0.00	
000930	中粮生化	0.68	13.33	0.09	13.33	13.34	811229	13834	0.00	          8.41	
000931	中 关 村	0.34	8.97	0.03	8.97	8.98	130369	2012	0.00	          1.95	
000932	华菱钢铁	-1.42	3.46	-0.05	3.45	3.46	539932	4942	0.28	          1.79	
000933	神火股份	3.64	5.41	0.19	5.41	5.42	1198632	18926	0.00	          6.31	
000935	四川双马	10.00	6.38	0.58	6.38	--  	238674	2064	0.00	          7.47	
000936	华西股份	0.45	8.87	0.04	8.87	8.88	93409	1416	0.11	          1.25	
000937	冀中能源	-0.62	4.83	-0.03	4.83	4.84	159307	1709	0.00	          0.56	
000938	紫光股份	-1.05	70.00	-0.74	70.00	70.04	44843	726	0.08	          2.18	
000939	凯迪生态	-0.22	9.08	-0.02	9.08	9.09	149865	3465	0.22	          1.59	
000948	南天信息	1.72	20.15	0.34	20.14	20.15	138156	2185	0.00	          5.97	
000949	新乡化纤	-0.95	4.19	-0.04	4.18	4.19	170504	1713	0.00	          1.66	
000950	建峰化工	0.47	6.43	0.03	6.42	6.43	38718	243	0.15	          0.65	
000951	中国重汽	-0.87	16.04	-0.14	16.04	16.05	12622	221	0.25	          0.30	
000952	广济药业	5.30	21.24	1.07	21.24	21.25	95925	3436	0.52	          3.81	
000953	河池化工	2.19	11.65	0.25	11.65	11.66	65572	2334	0.51	          2.23	
000955	欣龙控股	0.64	7.89	0.05	7.88	7.89	111064	4079	0.00	          2.06	
000957	中通客车	0.94	19.31	0.18	19.31	19.32	31503	793	0.20	          1.32	
000958	东方能源	-0.13	15.01	-0.02	15.00	15.01	75783	864	0.13	          3.03	
000959	首钢股份	-0.68	4.38	-0.03	4.38	4.39	811839	18712	0.22	          6.73	
000960	锡业股份	-0.38	10.45	-0.04	10.44	10.45	350050	5301	0.19	          3.04	
000961	中南建设	-0.81	14.62	-0.12	14.62	14.63	130192	2378	0.34	          1.12	
000962	东方钽业	--  	9.32	--  	--  	--  	0	0	--  	          0.00	
000963	华东医药	-0.85	73.06	-0.63	73.02	73.06	12380	71	-0.04	          0.29	
000965	天保基建	-0.39	5.11	-0.02	5.10	5.11	93779	4370	0.39	          0.93	
000966	长源电力	0.73	11.00	0.08	11.00	11.01	69964	1403	0.00	          1.26	
000967	上风高科	-0.44	18.17	-0.08	18.17	18.19	19693	122	0.05	          0.72	
000968	煤 气 化	--  	8.71	--  	--  	--  	0	0	--  	          0.00	
